x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
62035 	 62634	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_2.tif  
62634 	 63233	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_3.tif  
63233 	 63832	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_4.tif  
63832 	 64431	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_5.tif  
64431 	 65030	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_6.tif  
65030 	 65629	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_7.tif  
65629 	 66228	 12433	 13032	 Image_AD21354_2mm - Z 20x	 14_img_1_8.tif  
61436 	 62035	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_1.tif  
62035 	 62634	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_2.tif  
62634 	 63233	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_3.tif  
63233 	 63832	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_4.tif  
63832 	 64431	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_5.tif  
64431 	 65030	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_6.tif  
65030 	 65629	 13032	 13631	 Image_AD21354_2mm - Z 20x	 14_img_2_7.tif  
61436 	 62035	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_1.tif  
62035 	 62634	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_2.tif  
62634 	 63233	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_3.tif  
63233 	 63832	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_4.tif  
63832 	 64431	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_5.tif  
64431 	 65030	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_6.tif  
65030 	 65629	 13631	 14230	 Image_AD21354_2mm - Z 20x	 14_img_3_7.tif  
61436 	 62035	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_1.tif  
62035 	 62634	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_2.tif  
62634 	 63233	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_3.tif  
63233 	 63832	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_4.tif  
63832 	 64431	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_5.tif  
64431 	 65030	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_6.tif  
65030 	 65629	 14230	 14829	 Image_AD21354_2mm - Z 20x	 14_img_4_7.tif  
62035 	 62634	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_2.tif  
62634 	 63233	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_3.tif  
63233 	 63832	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_4.tif  
63832 	 64431	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_5.tif  
64431 	 65030	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_6.tif  
65030 	 65629	 14829	 15428	 Image_AD21354_2mm - Z 20x	 14_img_5_7.tif  
62634 	 63233	 15428	 16027	 Image_AD21354_2mm - Z 20x	 14_img_6_3.tif  
63233 	 63832	 15428	 16027	 Image_AD21354_2mm - Z 20x	 14_img_6_4.tif  
