x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
23460 	 24059	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_1.tif  
24059 	 24658	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_2.tif  
24658 	 25257	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_3.tif  
25257 	 25856	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_4.tif  
25856 	 26455	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_5.tif  
26455 	 27054	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_6.tif  
27054 	 27653	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_7.tif  
27653 	 28252	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_8.tif  
28252 	 28851	 3656	 4255	 Image_CTE8572_2_mm - Z 20x	 04_img_1_9.tif  
23460 	 24059	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_1.tif  
24059 	 24658	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_2.tif  
24658 	 25257	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_3.tif  
25257 	 25856	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_4.tif  
25856 	 26455	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_5.tif  
26455 	 27054	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_6.tif  
27054 	 27653	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_7.tif  
27653 	 28252	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_8.tif  
28252 	 28851	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_9.tif  
28851 	 29450	 4255	 4854	 Image_CTE8572_2_mm - Z 20x	 04_img_2_10.tif  
23460 	 24059	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_1.tif  
24059 	 24658	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_2.tif  
24658 	 25257	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_3.tif  
25257 	 25856	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_4.tif  
25856 	 26455	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_5.tif  
26455 	 27054	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_6.tif  
27054 	 27653	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_7.tif  
27653 	 28252	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_8.tif  
28252 	 28851	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_9.tif  
28851 	 29450	 4854	 5453	 Image_CTE8572_2_mm - Z 20x	 04_img_3_10.tif  
23460 	 24059	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_1.tif  
24059 	 24658	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_2.tif  
24658 	 25257	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_3.tif  
25257 	 25856	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_4.tif  
25856 	 26455	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_5.tif  
26455 	 27054	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_6.tif  
27054 	 27653	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_7.tif  
27653 	 28252	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_8.tif  
28252 	 28851	 5453	 6052	 Image_CTE8572_2_mm - Z 20x	 04_img_4_9.tif  
24059 	 24658	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_2.tif  
24658 	 25257	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_3.tif  
25257 	 25856	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_4.tif  
25856 	 26455	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_5.tif  
26455 	 27054	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_6.tif  
27054 	 27653	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_7.tif  
27653 	 28252	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_8.tif  
28252 	 28851	 6052	 6651	 Image_CTE8572_2_mm - Z 20x	 04_img_5_9.tif  
24658 	 25257	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_3.tif  
25257 	 25856	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_4.tif  
25856 	 26455	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_5.tif  
26455 	 27054	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_6.tif  
27054 	 27653	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_7.tif  
27653 	 28252	 6651	 7250	 Image_CTE8572_2_mm - Z 20x	 04_img_6_8.tif  
