x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
34380 	 34979	 3769	 4368	 Image_NC8095_2mm - Z 20x	 02_img_1_2.tif  
34979 	 35578	 3769	 4368	 Image_NC8095_2mm - Z 20x	 02_img_1_3.tif  
35578 	 36177	 3769	 4368	 Image_NC8095_2mm - Z 20x	 02_img_1_4.tif  
34380 	 34979	 4368	 4967	 Image_NC8095_2mm - Z 20x	 02_img_2_2.tif  
34979 	 35578	 4368	 4967	 Image_NC8095_2mm - Z 20x	 02_img_2_3.tif  
35578 	 36177	 4368	 4967	 Image_NC8095_2mm - Z 20x	 02_img_2_4.tif  
36177 	 36776	 4368	 4967	 Image_NC8095_2mm - Z 20x	 02_img_2_5.tif  
36776 	 37375	 4368	 4967	 Image_NC8095_2mm - Z 20x	 02_img_2_6.tif  
33781 	 34380	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_1.tif  
34380 	 34979	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_2.tif  
34979 	 35578	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_3.tif  
35578 	 36177	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_4.tif  
36177 	 36776	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_5.tif  
36776 	 37375	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_6.tif  
37375 	 37974	 4967	 5566	 Image_NC8095_2mm - Z 20x	 02_img_3_7.tif  
33781 	 34380	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_1.tif  
34380 	 34979	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_2.tif  
34979 	 35578	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_3.tif  
35578 	 36177	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_4.tif  
36177 	 36776	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_5.tif  
36776 	 37375	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_6.tif  
37375 	 37974	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_7.tif  
37974 	 38573	 5566	 6165	 Image_NC8095_2mm - Z 20x	 02_img_4_8.tif  
33781 	 34380	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_1.tif  
34380 	 34979	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_2.tif  
34979 	 35578	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_3.tif  
35578 	 36177	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_4.tif  
36177 	 36776	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_5.tif  
36776 	 37375	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_6.tif  
37375 	 37974	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_7.tif  
37974 	 38573	 6165	 6764	 Image_NC8095_2mm - Z 20x	 02_img_5_8.tif  
33781 	 34380	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_1.tif  
34380 	 34979	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_2.tif  
34979 	 35578	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_3.tif  
35578 	 36177	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_4.tif  
36177 	 36776	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_5.tif  
36776 	 37375	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_6.tif  
37375 	 37974	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_7.tif  
37974 	 38573	 6764	 7363	 Image_NC8095_2mm - Z 20x	 02_img_6_8.tif  
34380 	 34979	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_2.tif  
34979 	 35578	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_3.tif  
35578 	 36177	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_4.tif  
36177 	 36776	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_5.tif  
36776 	 37375	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_6.tif  
37375 	 37974	 7363	 7962	 Image_NC8095_2mm - Z 20x	 02_img_7_7.tif  
34979 	 35578	 7962	 8561	 Image_NC8095_2mm - Z 20x	 02_img_8_3.tif  
35578 	 36177	 7962	 8561	 Image_NC8095_2mm - Z 20x	 02_img_8_4.tif  
36177 	 36776	 7962	 8561	 Image_NC8095_2mm - Z 20x	 02_img_8_5.tif  
