x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
8949 	 9548	 34573	 35172	 Image_AD20382_2mm - Z 20x	 01_img_1_4.tif  
9548 	 10147	 34573	 35172	 Image_AD20382_2mm - Z 20x	 01_img_1_5.tif  
10147 	 10746	 34573	 35172	 Image_AD20382_2mm - Z 20x	 01_img_1_6.tif  
10746 	 11345	 34573	 35172	 Image_AD20382_2mm - Z 20x	 01_img_1_7.tif  
8350 	 8949	 35172	 35771	 Image_AD20382_2mm - Z 20x	 01_img_2_3.tif  
8949 	 9548	 35172	 35771	 Image_AD20382_2mm - Z 20x	 01_img_2_4.tif  
9548 	 10147	 35172	 35771	 Image_AD20382_2mm - Z 20x	 01_img_2_5.tif  
10147 	 10746	 35172	 35771	 Image_AD20382_2mm - Z 20x	 01_img_2_6.tif  
10746 	 11345	 35172	 35771	 Image_AD20382_2mm - Z 20x	 01_img_2_7.tif  
7152 	 7751	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_1.tif  
7751 	 8350	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_2.tif  
8350 	 8949	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_3.tif  
8949 	 9548	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_4.tif  
9548 	 10147	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_5.tif  
10147 	 10746	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_6.tif  
10746 	 11345	 35771	 36370	 Image_AD20382_2mm - Z 20x	 01_img_3_7.tif  
7152 	 7751	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_1.tif  
7751 	 8350	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_2.tif  
8350 	 8949	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_3.tif  
8949 	 9548	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_4.tif  
9548 	 10147	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_5.tif  
10147 	 10746	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_6.tif  
10746 	 11345	 36370	 36969	 Image_AD20382_2mm - Z 20x	 01_img_4_7.tif  
7152 	 7751	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_1.tif  
7751 	 8350	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_2.tif  
8350 	 8949	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_3.tif  
8949 	 9548	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_4.tif  
9548 	 10147	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_5.tif  
10147 	 10746	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_6.tif  
10746 	 11345	 36969	 37568	 Image_AD20382_2mm - Z 20x	 01_img_5_7.tif  
7751 	 8350	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_2.tif  
8350 	 8949	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_3.tif  
8949 	 9548	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_4.tif  
9548 	 10147	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_5.tif  
10147 	 10746	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_6.tif  
10746 	 11345	 37568	 38167	 Image_AD20382_2mm - Z 20x	 01_img_6_7.tif  
8350 	 8949	 38167	 38766	 Image_AD20382_2mm - Z 20x	 01_img_7_3.tif  
8949 	 9548	 38167	 38766	 Image_AD20382_2mm - Z 20x	 01_img_7_4.tif  
9548 	 10147	 38167	 38766	 Image_AD20382_2mm - Z 20x	 01_img_7_5.tif  
10147 	 10746	 38167	 38766	 Image_AD20382_2mm - Z 20x	 01_img_7_6.tif  
8949 	 9548	 38766	 39365	 Image_AD20382_2mm - Z 20x	 01_img_8_4.tif  
