x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
59698 	 60297	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_3.tif  
60297 	 60896	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_4.tif  
60896 	 61495	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_5.tif  
61495 	 62094	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_6.tif  
62094 	 62693	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_7.tif  
62693 	 63292	 19192	 19791	 Image_AD20969_3_mm - Z 20x	 13_img_1_8.tif  
59099 	 59698	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_2.tif  
59698 	 60297	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_3.tif  
60297 	 60896	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_4.tif  
60896 	 61495	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_5.tif  
61495 	 62094	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_6.tif  
62094 	 62693	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_7.tif  
62693 	 63292	 19791	 20390	 Image_AD20969_3_mm - Z 20x	 13_img_2_8.tif  
59099 	 59698	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_2.tif  
59698 	 60297	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_3.tif  
60297 	 60896	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_4.tif  
60896 	 61495	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_5.tif  
61495 	 62094	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_6.tif  
62094 	 62693	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_7.tif  
62693 	 63292	 20390	 20989	 Image_AD20969_3_mm - Z 20x	 13_img_3_8.tif  
58500 	 59099	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_1.tif  
59099 	 59698	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_2.tif  
59698 	 60297	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_3.tif  
60297 	 60896	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_4.tif  
60896 	 61495	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_5.tif  
61495 	 62094	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_6.tif  
62094 	 62693	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_7.tif  
62693 	 63292	 20989	 21588	 Image_AD20969_3_mm - Z 20x	 13_img_4_8.tif  
