x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
36027 	 36626	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_1.tif  
36626 	 37225	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_2.tif  
37225 	 37824	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_3.tif  
37824 	 38423	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_4.tif  
38423 	 39022	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_5.tif  
39022 	 39621	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_6.tif  
39621 	 40220	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_7.tif  
40220 	 40819	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_8.tif  
40819 	 41418	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_9.tif  
41418 	 42017	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_10.tif  
42017 	 42616	 4980	 5579	 Image_CTE7126_3mm - Z 20x	 08_img_1_11.tif  
36027 	 36626	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_1.tif  
36626 	 37225	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_2.tif  
37225 	 37824	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_3.tif  
37824 	 38423	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_4.tif  
38423 	 39022	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_5.tif  
39022 	 39621	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_6.tif  
39621 	 40220	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_7.tif  
40220 	 40819	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_8.tif  
40819 	 41418	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_9.tif  
41418 	 42017	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_10.tif  
42017 	 42616	 5579	 6178	 Image_CTE7126_3mm - Z 20x	 08_img_2_11.tif  
36027 	 36626	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_1.tif  
36626 	 37225	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_2.tif  
37225 	 37824	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_3.tif  
37824 	 38423	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_4.tif  
38423 	 39022	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_5.tif  
39022 	 39621	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_6.tif  
39621 	 40220	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_7.tif  
40220 	 40819	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_8.tif  
40819 	 41418	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_9.tif  
41418 	 42017	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_10.tif  
42017 	 42616	 6178	 6777	 Image_CTE7126_3mm - Z 20x	 08_img_3_11.tif  
36626 	 37225	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_2.tif  
37225 	 37824	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_3.tif  
37824 	 38423	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_4.tif  
38423 	 39022	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_5.tif  
39022 	 39621	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_6.tif  
39621 	 40220	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_7.tif  
40220 	 40819	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_8.tif  
40819 	 41418	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_9.tif  
41418 	 42017	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_10.tif  
42017 	 42616	 6777	 7376	 Image_CTE7126_3mm - Z 20x	 08_img_4_11.tif  
37225 	 37824	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_3.tif  
37824 	 38423	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_4.tif  
38423 	 39022	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_5.tif  
39022 	 39621	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_6.tif  
39621 	 40220	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_7.tif  
40220 	 40819	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_8.tif  
40819 	 41418	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_9.tif  
41418 	 42017	 7376	 7975	 Image_CTE7126_3mm - Z 20x	 08_img_5_10.tif  
