x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
55053 	 55652	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_3.tif  
55652 	 56251	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_4.tif  
56251 	 56850	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_5.tif  
56850 	 57449	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_6.tif  
57449 	 58048	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_7.tif  
58048 	 58647	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_8.tif  
58647 	 59246	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_9.tif  
59246 	 59845	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_10.tif  
59845 	 60444	 9312	 9911	 Image_NC6047_1mm - Z 20x	 10_img_1_11.tif  
53855 	 54454	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_1.tif  
54454 	 55053	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_2.tif  
55053 	 55652	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_3.tif  
55652 	 56251	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_4.tif  
56251 	 56850	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_5.tif  
56850 	 57449	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_6.tif  
57449 	 58048	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_7.tif  
58048 	 58647	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_8.tif  
58647 	 59246	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_9.tif  
59246 	 59845	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_10.tif  
59845 	 60444	 9911	 10510	 Image_NC6047_1mm - Z 20x	 10_img_2_11.tif  
53855 	 54454	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_1.tif  
54454 	 55053	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_2.tif  
55053 	 55652	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_3.tif  
55652 	 56251	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_4.tif  
56251 	 56850	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_5.tif  
56850 	 57449	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_6.tif  
57449 	 58048	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_7.tif  
58048 	 58647	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_8.tif  
58647 	 59246	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_9.tif  
59246 	 59845	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_10.tif  
59845 	 60444	 10510	 11109	 Image_NC6047_1mm - Z 20x	 10_img_3_11.tif  
53855 	 54454	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_1.tif  
54454 	 55053	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_2.tif  
55053 	 55652	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_3.tif  
55652 	 56251	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_4.tif  
56251 	 56850	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_5.tif  
56850 	 57449	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_6.tif  
57449 	 58048	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_7.tif  
58048 	 58647	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_8.tif  
58647 	 59246	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_9.tif  
59246 	 59845	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_10.tif  
59845 	 60444	 11109	 11708	 Image_NC6047_1mm - Z 20x	 10_img_4_11.tif  
53855 	 54454	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_1.tif  
54454 	 55053	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_2.tif  
55053 	 55652	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_3.tif  
55652 	 56251	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_4.tif  
56251 	 56850	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_5.tif  
56850 	 57449	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_6.tif  
57449 	 58048	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_7.tif  
58048 	 58647	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_8.tif  
58647 	 59246	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_9.tif  
59246 	 59845	 11708	 12307	 Image_NC6047_1mm - Z 20x	 10_img_5_10.tif  
54454 	 55053	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_2.tif  
55053 	 55652	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_3.tif  
55652 	 56251	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_4.tif  
56251 	 56850	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_5.tif  
56850 	 57449	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_6.tif  
57449 	 58048	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_7.tif  
58048 	 58647	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_8.tif  
58647 	 59246	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_9.tif  
59246 	 59845	 12307	 12906	 Image_NC6047_1mm - Z 20x	 10_img_6_10.tif  
55053 	 55652	 12906	 13505	 Image_NC6047_1mm - Z 20x	 10_img_7_3.tif  
55652 	 56251	 12906	 13505	 Image_NC6047_1mm - Z 20x	 10_img_7_4.tif  
56251 	 56850	 12906	 13505	 Image_NC6047_1mm - Z 20x	 10_img_7_5.tif  
